idCDP,BROAD_CPD_ID,CPD_ID,CPD_NAME,CPD_NAME_TYPE,cpd_type,CBP_SMILES
106,BRD-K07826724,234518,BRD-K07826724,BROAD_CPD_ID,NOM,Cc1cccc(COc2ccc(C=NNC(=O)c3nnn(c3CN3CCCCC3)-c3nonc3N)cc2)c1
107,BRD-K15387690,267881,BRD-K15387690,BROAD_CPD_ID,NOM,CCCCN(CCCC)C(=O)c1ccccc1NC(=O)CN1C(=O)c2ccccc2C1=O
108,BRD-K72504866,78190,BRD-K72504866,BROAD_CPD_ID,NOM,CN(C)S(=O)(=O)c1ccc(N2CCCC2)c(c1)C(=O)N1CCN(CC1)c1cccc(C)c1C
109,BRD-A61666925,339784,BRD-A61666925,BROAD_CPD_ID,NOM,NC(=O)C1CCN(CC1)C1CC(=O)N(C1=O)c1ccc(F)c(Cl)c1
110,BRD-K84203638,107798,BRD-K84203638,BROAD_CPD_ID,MLP,Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1
111,BRD-K64409586,620010,BRD-K64409586,BROAD_CPD_ID,MLP,COc1ccc(cc1)-c1[nH]nc2nc(cc(c12)C(F)(F)F)N1CCN(CC1)C(=O)c1ccoc1
112,BRD-K74980345,630128,BRD-K74980345,BROAD_CPD_ID,MLP,Cc1ccc(CNc2ncnc3ccc(cc23)-c2ccoc2C)o1
113,BRD-K00203625,372437,BRD-K00203625,BROAD_CPD_ID,NOM,COc1cc(OC)cc(c1)C(=O)Nc1nc[nH]n1
114,BRD-A96006241,636437,BRD-A96006241,BROAD_CPD_ID,MLP,CC(C)C(NC(=O)C(C)N)C(=O)NC(C)C(=O)Nc1cccc2ccccc12
115,BRD-K53566850,254133,BRD-K53566850,BROAD_CPD_ID,NOM,Cc1ccccc1N1CCN(CC1)c1ncnc2n(Cc3ccc(Cl)cc3)ncc12
116,BRD-K31600199,630133,BRD-K31600199,BROAD_CPD_ID,MLP,Cc1ccc2nc(NC3=NC4=C(C(=O)CCC4)C4(CCCC4)N3)oc2c1
117,BRD-K06020002,400795,BRD-K06020002,BROAD_CPD_ID,NOM,FC(F)(F)c1ccc(Cl)c(Nc2nnc(s2)-c2ccncc2)c1
118,BRD-A75106577,630465,BRD-A75106577,BROAD_CPD_ID,MLP,OC1N2CCCCCC2=Nc2cccc(F)c12
119,BRD-A36275421,154846,ML162,common,MLP,COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
120,BRD-K61993165,110690,BRD-K61993165,BROAD_CPD_ID,NOM,OC(=O)c1cccnc1SCCc1ccccc1
121,BRD-A62496920,367714,BRD-A62496920,BROAD_CPD_ID,MLP,O=C(CNC(=O)C1CCCCC1)OC(C(=O)c1ccccc1)c1ccccc1
122,BRD-K73951926,630362,BRD-K73951926,BROAD_CPD_ID,MLP,Cc1cccc(C)c1NC(=O)c1ccc(o1)-c1cc(F)ccc1F
123,BRD-K19196783,221469,BRD-K19196783,BROAD_CPD_ID,NOM,Nc1nonc1-n1nnc(C(=O)NN=Cc2ccccc2Br)c1CN1CCCC1
124,BRD-K59036917,170888,BRD-K59036917,BROAD_CPD_ID,NOM,CCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1
125,BRD-K24677486,362327,BRD-K24677486,BROAD_CPD_ID,MLP,COC(=O)NN=Cc1ccc(o1)[N+]([O-])=O
126,BRD-K58679021,110612,BRD-K58679021,BROAD_CPD_ID,NOM,CCCCn1c(CN2CCN(CC2)c2cccc(Cl)c2)nc2n(C)c(=O)n(C)c(=O)c12
127,BRD-K12340493,310827,BRD-K12340493,BROAD_CPD_ID,NOM,COc1ccccc1C=NNC(=O)c1nnn(-c2nonc2N)c1-c1ccccc1
128,BRD-K29702569,223631,BRD-K29702569,BROAD_CPD_ID,NOM,CCOc1ccccc1C=NNC(=O)c1nnn(c1CN1CCC(C)CC1)-c1nonc1N
129,BRD-A09243694,178497,BRD-A09243694,BROAD_CPD_ID,NOM,CCCCC(O)(CCN1CCOCC1)c1ccc(Cl)cc1
130,BRD-K78469924,142771,BRD-K78469924,BROAD_CPD_ID,NOM,COc1cc(cc(OC)c1O)\C=C1/SC(Nc2ccc(O)cc2)=NC1=O
131,BRD-K75903201,172234,BRD-K75903201,BROAD_CPD_ID,NOM,CCCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1
132,BRD-K59840856,630467,BRD-K59840856,BROAD_CPD_ID,NOM,Nc1nc2ccccc2n1S(=O)(=O)c1ccccc1
133,BRD-A69110668,330660,BRD-A69110668,BROAD_CPD_ID,NOM,CCC(=O)N1CC(=O)Nc2ccc(Cl)cc2C1c1ccc(F)cc1
134,BRD-K64979116,630436,BRD-K64979116,BROAD_CPD_ID,MLP,Fc1cccc2nc(SCC(=O)Nc3ccc4CCCc4c3)n(-c3ccccc3)c(=O)c12
135,BRD-K19829092,82436,BRD-K19829092,BROAD_CPD_ID,NOM,COc1cc(cc(OC)c1O)\C=C1\SC(Nc2ccc(O)cc2)=NC1=O
136,BRD-K98991361,400886,BRD-K98991361,BROAD_CPD_ID,NOM,CC(=O)Nc1cccc(NC(=O)c2ccccc2Cl)c1
137,BRD-A69196860,107847,BRD-A69196860,BROAD_CPD_ID,NOM,CC1CC(C)CN(CCCNC(=O)C2CCN(Cc3nc(oc3C)-c3ccccc3C)CC2)C1
138,BRD-K78062244,296720,BRD-K78062244,BROAD_CPD_ID,MLP,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)C(C)(C)N1C(=O)CCl
139,BRD-K27520107,370726,BRD-K27520107,BROAD_CPD_ID,MLP,CCOC(=O)N1CCC(CC1)NCCNC(=O)c1cccc(F)c1
140,BRD-K86158100,242322,BRD-K86158100,BROAD_CPD_ID,NOM,CC(C)c1c(nnn1-c1nonc1N)C(=O)NN=Cc1ccc(OCc2ccc(F)cc2)cc1
141,BRD-K48974000,371111,BRD-K48974000,BROAD_CPD_ID,NOM,Oc1ccc(cc1O)C(=O)CSc1nnc(-c2cccc(Cl)c2)n1CC=C
142,BRD-K86693415,203954,BRD-K86693415,BROAD_CPD_ID,MLP,CC(C)Oc1nc(nc2ccccc12)-c1ccc(Cl)cc1
143,BRD-A02809788,417222,BRD-A02809788,BROAD_CPD_ID,NOM,COc1ccc(cc1OC)C(=O)C1CCCN(CCc2ccccc2)C1
